mese_label,mese_iso,prezzo_m2,var_mensile_pct,var_trimestrale_pct,var_annuale_pct,prezzo_label,var_mensile_label,var_trimestrale_label,var_annuale_label
Luglio 2017,2017-07-01,11.2,12.0,,16.3654,"11,2 €/m2","+ 12,0 %",N/A,"+ 16,4 %"
Giugno 2017,2017-06-01,10.0,,,3.44642,"10,0 €/m2",N/A,N/A,"+ 3,4 %"
Maggio 2017,2017-05-01,10.0,,,7.35143,"10,0 €/m2",N/A,N/A,"+ 7,4 %"
Aprile 2017,2017-04-01,,,,,N/A,N/A,N/A,N/A
Marzo 2017,2017-03-01,,,,,N/A,N/A,N/A,N/A
Febbraio 2017,2017-02-01,,,,,N/A,N/A,N/A,N/A
Gennaio 2017,2017-01-01,,,,,N/A,N/A,N/A,N/A
Dicembre 2016,2016-12-01,,,,,N/A,N/A,N/A,N/A
Novembre 2016,2016-11-01,10.7692,12.1792,0.960935,15.9761,"10,8 €/m2","+ 12,2 %","+ 1,0 %","+ 16,0 %"
Ottobre 2016,2016-10-01,9.6,-8.23496,-0.258186,2.29514,"9,6 €/m2","- 8,2 %","- 0,3 %","+ 2,3 %"
Settembre 2016,2016-09-01,10.4615,-1.92374,8.22047,9.25575,"10,5 €/m2","- 1,9 %","+ 8,2 %","+ 9,3 %"
Agosto 2016,2016-08-01,10.6667,10.8246,14.5085,8.28884,"10,7 €/m2","+ 10,8 %","+ 14,5 %","+ 8,3 %"
Luglio 2016,2016-07-01,9.62485,-0.434372,3.16388,3.12343,"9,6 €/m2","- 0,4 %","+ 3,2 %","+ 3,1 %"
Giugno 2016,2016-06-01,9.66684,3.77491,0.505185,-3.3316,"9,7 €/m2","+ 3,8 %","+ 0,5 %","- 3,3 %"
Maggio 2016,2016-05-01,9.3152,-0.155097,5.30231,-6.848,"9,3 €/m2","- 0,2 %","+ 5,3 %","- 6,8 %"
Aprile 2016,2016-04-01,9.32967,-3.00034,1.07142,-6.7033,"9,3 €/m2","- 3,0 %","+ 1,1 %","- 6,7 %"
Marzo 2016,2016-03-01,9.61825,8.72809,4.1977,,"9,6 €/m2","+ 8,7 %","+ 4,2 %",N/A
Febbraio 2016,2016-02-01,8.84615,-4.16672,-4.73373,,"8,8 €/m2","- 4,2 %","- 4,7 %",N/A
Gennaio 2016,2016-01-01,9.23077,,-1.63928,,"9,2 €/m2",N/A,"- 1,6 %",N/A
Dicembre 2015,2015-12-01,9.23077,-0.591662,-3.59751,,"9,2 €/m2","- 0,6 %","- 3,6 %",N/A
Novembre 2015,2015-11-01,9.28571,-1.05385,-5.73103,-7.1429,"9,3 €/m2","- 1,1 %","- 5,7 %","- 7,1 %"
Ottobre 2015,2015-10-01,9.38461,-1.99086,0.549429,-6.1539,"9,4 €/m2","- 2,0 %","+ 0,5 %","- 6,2 %"
Settembre 2015,2015-09-01,9.57524,-2.79171,-4.2476,-1.34599,"9,6 €/m2","- 2,8 %","- 4,2 %","- 1,3 %"
Agosto 2015,2015-08-01,9.85023,5.53822,-1.4977,4.41246,"9,9 €/m2","+ 5,5 %","- 1,5 %","+ 4,4 %"
Luglio 2015,2015-07-01,9.33333,-6.6667,-6.6667,-6.6667,"9,3 €/m2","- 6,7 %","- 6,7 %","- 6,7 %"
Giugno 2015,2015-06-01,10.0,,,11.1111,"10,0 €/m2",N/A,N/A,"+ 11,1 %"
Maggio 2015,2015-05-01,10.0,,,3.99994,"10,0 €/m2",N/A,N/A,"+ 4,0 %"
Aprile 2015,2015-04-01,10.0,,,7.1429,"10,0 €/m2",N/A,N/A,"+ 7,1 %"
Marzo 2015,2015-03-01,,,,,N/A,N/A,N/A,N/A
Febbraio 2015,2015-02-01,,,,,N/A,N/A,N/A,N/A
Gennaio 2015,2015-01-01,,,,,N/A,N/A,N/A,N/A
Dicembre 2014,2014-12-01,,,,,N/A,N/A,N/A,N/A
Novembre 2014,2014-11-01,10.0,,6.00003,,"10,0 €/m2",N/A,"+ 6,0 %",N/A
Ottobre 2014,2014-10-01,10.0,3.03033,,-5.88235,"10,0 €/m2","+ 3,0 %",N/A,"- 5,9 %"
Settembre 2014,2014-09-01,9.70588,2.88235,7.84311,-9.00766,"9,7 €/m2","+ 2,9 %","+ 7,8 %","- 9,0 %"
Agosto 2014,2014-08-01,9.43396,-5.6604,-1.88687,-12.0565,"9,4 €/m2","- 5,7 %","- 1,9 %","- 12,1 %"
Luglio 2014,2014-07-01,10.0,11.1111,7.1429,-7.40741,"10,0 €/m2","+ 11,1 %","+ 7,1 %","- 7,4 %"
Giugno 2014,2014-06-01,9.0,-6.40005,-3.57139,-16.9228,"9,0 €/m2","- 6,4 %","- 3,6 %","- 16,9 %"
