mese_label,mese_iso,prezzo_m2,var_mensile_pct,var_trimestrale_pct,var_annuale_pct,prezzo_label,var_mensile_label,var_trimestrale_label,var_annuale_label
Aprile 2013,2013-04-01,9.44444,0.347119,0.347119,,"9,4 €/m2","+ 0,3 %","+ 0,3 %",N/A
Marzo 2013,2013-03-01,9.41177,,-0.345918,,"9,4 €/m2",N/A,"- 0,3 %",N/A
Febbraio 2013,2013-02-01,,,,,N/A,N/A,N/A,N/A
Gennaio 2013,2013-01-01,9.41177,-0.345918,-5.8823,,"9,4 €/m2","- 0,3 %","- 5,9 %",N/A
Dicembre 2012,2012-12-01,9.44444,-5.5556,,,"9,4 €/m2","- 5,6 %",N/A,N/A
Novembre 2012,2012-11-01,10.0,,,,"10,0 €/m2",N/A,N/A,N/A
Ottobre 2012,2012-10-01,10.0,,,,"10,0 €/m2",N/A,N/A,N/A
Settembre 2012,2012-09-01,,,,,N/A,N/A,N/A,N/A
Agosto 2012,2012-08-01,,,,,N/A,N/A,N/A,N/A
Luglio 2012,2012-07-01,,,,,N/A,N/A,N/A,N/A
Giugno 2012,2012-06-01,,,,,N/A,N/A,N/A,N/A
Maggio 2012,2012-05-01,,,,,N/A,N/A,N/A,N/A
Aprile 2012,2012-04-01,,,,,N/A,N/A,N/A,N/A
Marzo 2012,2012-03-01,,,,,N/A,N/A,N/A,N/A
Febbraio 2012,2012-02-01,,,,,N/A,N/A,N/A,N/A
Gennaio 2012,2012-01-01,,,,,N/A,N/A,N/A,N/A
