AREA;SOTTOAREA;STATO;QUARTIERE;ZONA;CENTRO_STORICO;SETTORE;BOTTEGA_STORICA;LATITUDINE;LONGITUDINE;DATA_INIZIO_ATTIVITA;DATA_CESSAZIONE_ATTIVITA;TIPOLOGIA_ESERCIZIO;ESERCIZIO_VIA;CIVICO;AREA STATISTICA;ATTIVITA_PREVALENTE_ESERCIZIO;ATTIVITA_SECONDARIA_ESERCIZIO;INSERITO_IN_CENTRO_COMMERCALE;geopoint
Attività ricettive;Altre tipologie ricettive;Cessato;Santo Stefano;Colli;;;;44.47817207;11.33547931;2002-04-04;2005-10-14;Bed & Breakfast;VIA S.MAMOLO;123 Int. 8;OSSERVANZA;;BED AND BREAKFAST;;44.47817207, 11.33547931
Attività ricettive;Altre tipologie ricettive;Cessato;Porto - Saragozza;Malpighi;(centro storico);;;44.4943406;11.3298936;2018-11-12;2019-01-10;Appartamento Ammobiliato Per Uso Turistico;VIA S.ISAIA;100;MALPIGHI-2;;;;44.4943406, 11.3298936
Attività ricettive;Alberghi - Residenze turistico alberghiere;Cessato;Porto - Saragozza;Marconi;(centro storico);;;44.50020362;11.34322613;1990-11-17;1993-01-15;non definita;VIA S.GIUSEPPE;5;MARCONI-2;;SOMMINISTRAZIONI RISERVATE AI SOLI ALLOGGIATI DELLE VARIE STRUTTURE RICETTIVE, ALBERGHI E PENSIONI;;44.50020362, 11.34322613
Attività ricettive;Strutture ricettive extralberghiere;Attivo;Porto - Saragozza;Malpighi;(centro storico);;;44.49681049;11.33381941;2019-11-11;;Affittacamere;VIA S.FELICE;28 Int. 20;MALPIGHI-2;;;;44.49681049, 11.33381941
Attività ricettive;Strutture ricettive extralberghiere;Attivo;Porto - Saragozza;Malpighi;(centro storico);;;44.49647464;11.33479757;2020-02-28;;Case E Appartamenti Per Vacanze;VIA S.FELICE;22/B Int. 8;MALPIGHI-2;;;;44.49647464, 11.33479757
Attività ricettive;Strutture ricettive extralberghiere;Attivo;Porto - Saragozza;Malpighi;(centro storico);;;44.49647464;11.33479757;2020-02-28;;Case E Appartamenti Per Vacanze;VIA S.FELICE;22/B Int. 7;MALPIGHI-2;;;;44.49647464, 11.33479757
Attività ricettive;Altre tipologie ricettive;Attivo;Porto - Saragozza;Marconi;(centro storico);;;44.49627622;11.33597623;2014-07-23;;Appartamento Ammobiliato Per Uso Turistico;VIA S.FELICE;11 Int. 10/3;MARCONI-2;;;;44.49627622, 11.33597623
Attività ricettive;Altre tipologie ricettive;Cessato;San Donato - San Vitale;S. Vitale;;;;44.50045716;11.35940975;2003-04-29;2005-09-19;Bed & Breakfast;VIA S.DONATO;46 Int. 5;CIRENAICA;;BED AND BREAKFAST;;44.50045716, 11.35940975
Attività ricettive;Alberghi - Residenze turistico alberghiere;Cessato;San Donato - San Vitale;S. Vitale;;;;44.49909609;11.35816143;1991-09-30;1994-01-12;Affittacamere;VIA S.DONATO;21;CIRENAICA;;AFFITTACAMERE;;44.49909609, 11.35816143
Attività ricettive;Altre tipologie ricettive;Cessato;San Donato - San Vitale;San Donato;;;;44.52208317;11.40508584;2004-10-01;2005-06-13;Bed & Breakfast;VIA S.DONATO;202;CADRIANO-CALAMOSCO;;BED AND BREAKFAST;;44.52208317, 11.40508584
Attività ricettive;Alberghi - Residenze turistico alberghiere;Cessato;San Donato - San Vitale;San Donato;;;;44.51022474;11.38252982;1996-04-17;1997-11-12;non definita;VIA S.DONATO;159;PILASTRO;;SOMMINISTRAZIONI RISERVATE AI SOLI ALLOGGIATI DELLE VARIE STRUTTURE RICETTIVE, ALBERGHI E PENSIONI;;44.51022474, 11.38252982
Attività ricettive;Alberghi - Residenze turistico alberghiere;Cessato;San Donato - San Vitale;San Donato;;;;44.51022474;11.38252982;1994-10-03;1996-01-10;non definita;VIA S.DONATO;159;PILASTRO;;RADIO, SOMMINISTRAZIONI RISERVATE AI SOLI ALLOGGIATI DELLE VARIE STRUTTURE RICETTIVE, ALBERGHI E PENSIONI, APPARECCHI TELEVISIVI;;44.51022474, 11.38252982
Attività ricettive;Altre tipologie ricettive;Cessato;San Donato - San Vitale;S. Vitale;;;;44.49858553;11.35696955;1997-11-19;2005-12-27;Affittacamere;VIA S.DONATO;1 Int. 1;CIRENAICA;;AFFITTACAMERE;;44.49858553, 11.35696955
Attività ricettive;Altre tipologie ricettive;Cessato;Navile;Corticella;;;;44.54899102;11.35851299;2008-10-27;2013-02-28;Appartamenti Ammobiliati Ad Uso Turistico;VIA S.ANNA;20;SAN SAVINO;;;;44.54899102, 11.35851299
Attività ricettive;Altre tipologie ricettive;Cessato;Navile;Bolognina;;;;44.50829286;11.35490816;2018-06-25;2021-08-24;Appartamento Ammobiliato Per Uso Turistico;VIA STALINGRADO;16/4;PIAZZA DELL'UNITA';;;;44.50829286, 11.35490816
Attività ricettive;Altre tipologie ricettive;Cessato;Savena;Mazzini;;;;44.47885972;11.38316549;2016-01-18;2017-10-19;Appartamento Ammobiliato Per Uso Turistico;VIA SICILIA;4 Int. 5;BITONE;;;;44.47885972, 11.38316549
Attività ricettive;Strutture ricettive extralberghiere;Attivo;Santo Stefano;Galvani;(centro storico);;;44.48950325;11.35063946;2020-02-28;;Case E Appartamenti Per Vacanze;VIA S.STEFANO;45 Int. 4;GALVANI-2;;;;44.48950325, 11.35063946
Attività ricettive;Altre tipologie ricettive;Attivo;Santo Stefano;Galvani;(centro storico);;;44.48543701;11.35534867;2019-11-11;;Bed & Breakfast - Attività Saltuaria Di Alloggio E Prima Colazione;VIA S.STEFANO;164 Int. 3/2;GALVANI-2;;;;44.48543701, 11.35534867
Attività ricettive;Altre tipologie ricettive;Cessato;Santo Stefano;Galvani;(centro storico);;;44.49230118;11.34785301;2016-03-10;2021-08-12;Intermediazione Da Parte Di Agenzie Immobiliari Nella Locazione Di Appartamenti Ammobiliati A Turisti;VIA S.STEFANO;13 Int. 16;GALVANI-1;;;;44.49230118, 11.34785301
Attività ricettive;Alberghi - Residenze turistico alberghiere;Cessato;Santo Stefano;Galvani;(centro storico);;;44.49417522;11.34597061;1987-12-05;1993-06-05;non definita;VIA RIZZOLI;9;GALVANI-1;;SOMMINISTRAZIONI RISERVATE AI SOLI ALLOGGIATI DELLE VARIE STRUTTURE RICETTIVE, ALBERGHI E PENSIONI;;44.49417522, 11.34597061
Attività ricettive;Altre tipologie ricettive;Cessato;Porto - Saragozza;Marconi;(centro storico);;;44.4988733;11.3389558;2003-07-31;2003-09-30;Bed & Breakfast;VIA RIVA DI RENO;65 Int. 6;MARCONI-1;;BED AND BREAKFAST;;44.4988733, 11.3389558
Attività ricettive;Altre tipologie ricettive;Cessato;Porto - Saragozza;Marconi;(centro storico);;;44.49822236;11.33504409;2002-04-29;2005-06-07;Bed & Breakfast;VIA RIVA DI RENO;33 Int. 11;MARCONI-2;;BED AND BREAKFAST;;44.49822236, 11.33504409
Attività ricettive;Altre tipologie ricettive;Cessato;Porto - Saragozza;Marconi;(centro storico);;;44.49888567;11.34113498;2011-03-23;2011-08-01;Bed & Breakfast;VIA RIVA DI RENO;118 Int. 8;MARCONI-2;;;;44.49888567, 11.34113498
Attività ricettive;Altre tipologie ricettive;Cessato;Santo Stefano;Galvani;(centro storico);;;44.48977007;11.3499213;2018-10-01;2021-11-18;Appartamento Ammobiliato Per Uso Turistico;VIA RIALTO;5;GALVANI-2;;;;44.48977007, 11.3499213
Attività ricettive;Altre tipologie ricettive;Attivo;Santo Stefano;Galvani;(centro storico);;;44.4883087;11.34912766;2015-12-03;;Appartamento Ammobiliato Per Uso Turistico;VIA RIALTO;24;GALVANI-2;;;;44.4883087, 11.34912766
Attività ricettive;Altre tipologie ricettive;Cessato;Savena;S. Ruffillo;;;;44.45218096;11.36577189;2018-10-01;2019-03-15;Appartamento Ammobiliato Per Uso Turistico;VIA RAMBERTINO BUVALELLI;6;PONTE SAVENA-LA BASTIA;;;;44.45218096, 11.36577189
Attività ricettive;Strutture ricettive extralberghiere;Attivo;Porto - Saragozza;Malpighi;(centro storico);;;44.49424599;11.3388728;2018-06-05;;Affittacamere;VIA QUATTRO NOVEMBRE;9 Int. 1;MALPIGHI-1;;;;44.49424599, 11.3388728
Attività ricettive;Altre tipologie ricettive;Cessato;Porto - Saragozza;Costa Saragozza;;;;44.4907908;11.30710217;2004-11-16;2006-03-10;Bed & Breakfast;VIA PORRETTANA;64 Int. 3;STADIO-MELONCELLO;;BED AND BREAKFAST;;44.4907908, 11.30710217
Attività ricettive;Altre tipologie ricettive;Attivo;Navile;Bolognina;;;;44.51453347;11.35198899;2011-09-02;;Appartamenti Ammobiliati Ad Uso Turistico;VIA PIETRO FACCINI;6 Int. 2;VIA FERRARESE;;;;44.51453347, 11.35198899
Attività ricettive;Alberghi - Residenze turistico alberghiere;Cessato;Porto - Saragozza;Malpighi;(centro storico);;;44.49617014;11.3313898;1993-09-22;1995-11-06;Affittacamere;VIA PIETRALATA;30;MALPIGHI-2;;AFFITTACAMERE;;44.49617014, 11.3313898
Attività ricettive;Altre tipologie ricettive;Cessato;Navile;Bolognina;;;;44.50792606;11.35456139;2018-10-01;2021-01-19;Bed & Breakfast - Attività Saltuaria Di Alloggio E Prima Colazione;VIA SEBASTIANO SERLIO;30 Int. 15;PIAZZA DELL'UNITA';;;;44.50792606, 11.35456139
Attività ricettive;Strutture ricettive extralberghiere;Cessato;Navile;Bolognina;;;;44.50846179;11.3509675;2017-04-18;2021-10-01;Case E Appartamenti Per Vacanze;VIA SEBASTIANO SERLIO;24 Int. 2;PIAZZA DELL'UNITA';;;;44.50846179, 11.3509675
Attività ricettive;Altre tipologie ricettive;Cessato;Navile;Bolognina;;;;44.50889973;11.34918297;2014-07-07;2016-05-27;Appartamento Ammobiliato Per Uso Turistico;VIA SEBASTIANO SERLIO;14/6;PIAZZA DELL'UNITA';;;;44.50889973, 11.34918297
Attività ricettive;Strutture ricettive extralberghiere;Cessato;Santo Stefano;Galvani;(centro storico);;;44.48637812;11.34275786;2018-06-29;2018-07-06;Case E Appartamenti Per Vacanze;VIA SAVENELLA;27 Int. 9;GALVANI-2;;;;44.48637812, 11.34275786
Attività ricettive;Altre tipologie ricettive;Attivo;Porto - Saragozza;Costa Saragozza;;;;44.49048117;11.32692952;2009-02-16;;Bed & Breakfast;VIA SARAGOZZA;95;SAN GIUSEPPE;;;;44.49048117, 11.32692952
Attività ricettive;Altre tipologie ricettive;Attivo;Porto - Saragozza;Costa Saragozza;;;;44.4894536;11.31975931;2006-07-14;;Bed & Breakfast;VIA SARAGOZZA;163 Int. 6;XXI APRILE;;BED AND BREAKFAST;;44.4894536, 11.31975931
Attività ricettive;Altre tipologie ricettive;Cessato;Santo Stefano;Murri;;;;44.48732509;11.3661104;2018-11-15;2019-10-22;Bed & Breakfast - Attività Saltuaria Di Alloggio E Prima Colazione;VIA PELAGIO PALAGI;2 Int. 4;MEZZOFANTI;;;;44.48732509, 11.3661104
Attività ricettive;Alberghi - Residenze turistico alberghiere;Cessato;Navile;Bolognina;;;;44.50885453;11.34231006;1991-10-08;1991-12-23;non definita;VIA NICOLO' DALL'ARCA;12;PIAZZA DELL'UNITA';;ALBERGHI E PENSIONI;;44.50885453, 11.34231006
Attività ricettive;Strutture ricettive extralberghiere;Attivo;Porto - Saragozza;Marconi;(centro storico);;;44.49803612;11.33972692;2019-12-17;;Case E Appartamenti Per Vacanze;VIA NAZARIO SAURO;25 Int. 1;MARCONI-1;;;;44.49803612, 11.33972692
Attività ricettive;Altre tipologie ricettive;Cessato;Porto - Saragozza;Saffi;;;;44.50053418;11.32235893;2003-02-05;2005-02-08;Bed & Breakfast;VIA MONTELLO;4 Int. 3;VIA VITTORIO VENETO;;BED AND BREAKFAST;;44.50053418, 11.32235893
Attività ricettive;Altre tipologie ricettive;Cessato;Porto - Saragozza;Marconi;(centro storico);;;44.49556069;11.34212888;2016-10-14;2017-06-01;Intermediazione Da Parte Di Agenzie Immobiliari Nella Locazione Di Appartamenti Ammobiliati A Turisti;VIA MONTE GRAPPA;3 Int. 3;MARCONI-1;;;;44.49556069, 11.34212888
Attività ricettive;Strutture ricettive extralberghiere;Attivo;Santo Stefano;Galvani;(centro storico);;;44.48690442;11.34222126;2016-04-01;;Case E Appartamenti Per Vacanze;VIA MIRAMONTE;24 Int. 5;GALVANI-2;;;;44.48690442, 11.34222126
